Table 4-22M:  Energy Intensity of Light Duty Vehicles and Motorcycles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light duty vehicle, short wheel basea,b",1.95,1.93,1.91,1.89,1.81,1.68,1.62,1.62,1.61,1.61,1.60,1.59,1.59,1.59,1.59,1.59,1.59,1.57,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.39,1.39,1.39,1.39,1.39,1.39
"Light duty vehicle, long wheel baseb",N,N,1.84,1.81,1.79,1.76,1.74,1.72,1.70,1.68,1.66,1.59,1.59,1.59,1.59,1.59,1.59,1.78,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.34,1.34,1.34,1.34,1.34,1.34
Motorcyclea,U,U,1.00,1.07,1.18,1.32,1.25,1.30,1.25,1.21,1.18,1.12,1.11,1.09,1.07,1.13,1.10,1.22,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.08,1.08,1.08,1.08,1.08,1.08
Fuel consumed (million liters),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light duty vehicle, short wheel basea,b","155,849","188,222","256,723","280,650","264,911","270,725","263,344","243,466","247,702","253,804","256,931","257,681","262,030","264,570","271,395","277,406","276,582","278,450","285,690","285,627","285,427","293,061","283,940","339,085","323,991","324,249","328,530","334,474","335,388","335,429","338,040"
"Light duty vehicle, long wheel baseb",N,N,"46,610","72,229","90,078","103,580","134,802","144,667","154,933","162,209","166,982","172,634","179,254","186,954","191,019","200,093","200,395","202,602","209,031","229,994","240,060","222,844","229,719","139,721","132,207","135,179","137,225","133,756","132,922","133,090","141,359"
Motorcyclea,U,U,227,428,772,689,723,697,723,750,776,742,750,765,780,801,793,730,723,725,766,717,837,"1,798","1,853","1,826","1,615","1,614","1,859","1,770","1,736"
Energy intensity (Kilojoules/passenger-kilometer)b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light duty vehicle, short wheel basea,b","2,947","2,921","3,174","3,109","2,850","2,799","2,498","2,396","2,429","2,483","2,472","2,439","2,427","2,397","2,384","2,407","2,353","2,358","2,360","2,341","2,301","2,350","2,301","2,208","2,192","2,506","2,527","2,547","2,533","2,519","2,542"
"Light duty vehicle, long wheel baseb",N,N,"4,465","4,308","3,743","3,259","2,918","2,804","2,790","2,803","2,849","2,975","2,990","2,991","2,994","3,023","2,956","2,612","2,702","2,918","2,918","2,673","2,650","2,974","2,727","3,547","3,571","3,587","3,583","3,575","3,588"
Motorcyclea,U,U,"1,639","1,543","1,393","1,243","1,304","1,257","1,304","1,352","1,400","1,460","1,475","1,505","1,535","1,446","1,490","1,343","1,291","1,291","1,291","1,170","1,184","1,432","1,517","1,762","1,754","1,749","1,747","1,747","1,747"
KEY: Btu = British thermal unit; N = data do not exist; R = revised; U = data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Motorcycle was included in Light duty vehicle, short wheel base (previously Passenger car) in 1960 and 1965.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b 1960-99 data are for Passenger car and Other 2-axle, 4-tire vehicles, respectively. The data from 1960-2006 are not comparable to the data from 2007-14.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c Energy Intensity (Btu/passenger-mile) is calculated by converting the fuel consumption in gallons to the energy equivalent Btu units and dividing by the passenger-miles. The heat equivalent factor used for Btu conversion is 125,000 Btus/gallon.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 2007-14 were calculated using a new methodology developed by FHWA. Data for these years are based on new categories and are not comparable to previous years. The new category Light duty vehicle, short wheel base includes passenger cars, light trucks, vans and sport utility vehicles with a wheelbase (WB) equal to or less than 121 inches. The new category Light duty vehicle, long wheel base includes large passenger cars, vans, pickup trucks, and sport/utility vehicles with wheelbases (WB) larger than 121 inches. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 1995, the U.S. Department of Transportation, Federal Highway Administration revised its vehicle type categories for 1993 and later data. These new categories include passenger car, other 2-axle 4-tire vehicle, single-unit 2-axle 6-tire or more truck, and combination truck. Other 2-axle 4-tire vehicle includes vans, pickup trucks, and sport utility vehicles.  In previous years, some minivans and sport utility vehicles were included in the passenger car category.  Single-unit 2-axle 6-tire or more trucks are on a single frame with at least 2 axles and 6 tires.  Pre-1993 data have been reassigned to the closest available category.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For 1970-94, the unrevised motorcycle fuel consumed is subtracted from the combined passenger car and motorcycle fuel consumed from VM-201A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle-miles and Passenger-miles data for 1960 through 1999 have been rounded to the nearest billion miles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 mile = 1.609344 kilometers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 gallon = 3.785412 liters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Btu = 1.055056 kilojoules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle-miles:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger car:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-94: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics Summary to 1995, table VM-201A, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Oct. 6, 2011. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2006: Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Oct. 6, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light duty vehicle, short wheel base:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007-2014: Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Mar. 3, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other 2-axle 4-tire vehicle:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-94: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics Summary to 1995, table VM-201A, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Oct. 6, 2011. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2006: Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Oct. 6, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light duty vehicle, long wheel base:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007-2014: Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Mar. 3, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-94: Ibid., Highway Statistics, Summary to 1985 (Washington, DC: 1986), table VM-201A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For 1970-94, the unrevised motorcycle vehicle-miles are subtracted from the combined passenger car and motorcycle vehicle-miles from VM-201A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2014: Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Mar. 3, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger-miles: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-97:  Vehicle-miles multiplied by vehicle occupancy rates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1998-2014:  Ibid., Highway Statistics (Washington, DC:  Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Mar. 3, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel consumed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-94: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics Summary to 1995, FHWA-PL-97-009 (Washington, DC: July 1997), table VM-201A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2014: Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Mar. 3, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
